pitch_type,game_date,release_speed,pitcher,events,description,zone,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,inning,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,launch_speed_angle
KC,9/15/19,80.2,621111,field_out,hit_into_play,4,R,NYM,LAD,X,8,fly_ball,0,1,3,354,98.2,36.2,79.094,2831,5.833,5
KC,9/15/19,82.9,621111,force_out,hit_into_play,5,R,NYM,LAD,X,5,ground_ball,0,2,1,2,75.9,-43.4,79.697,3048,4.477,2
FT,9/14/19,91.2,547943,strikeout,called_strike,11,L,NYM,LAD,S,2,null,2,2,7,null,null,null,91.61,1950,6.374,null
FC,9/14/19,89,547943,field_out,hit_into_play,11,L,NYM,LAD,X,3,popup,0,1,4,64,64.6,80.5,89.648,2054,6.374,3
CH,9/14/19,81.2,547943,field_out,hit_into_play,14,L,NYM,LAD,X,6,ground_ball,3,2,2,58,85.1,2.6,82.466,1420,6.938,2
CU,9/12/19,83.1,542882,field_out,hit_into_play,11,R,NYM,ARI,X,1,ground_ball,1,2,8,2,67.2,-59.8,80.256,2688,4.707,2
SL,9/12/19,78.9,642073,strikeout,swinging_strike,3,R,NYM,ARI,S,2,null,3,2,6,null,null,null,77.732,2519,5.605,null
SL,9/12/19,86.7,661255,strikeout,swinging_strike,2,R,NYM,ARI,S,2,null,1,2,4,null,null,null,86.345,2399,6.154,null
CH,9/12/19,82.9,622065,strikeout,swinging_strike_blocked,14,L,NYM,ARI,S,2,null,0,2,1,null,null,null,81.747,1727,5.631,null
FS,9/11/19,83.4,673633,force_out,hit_into_play,5,R,NYM,ARI,X,5,ground_ball,0,1,6,null,82.9,-20.7,82.511,1361,5.577,2
FF,9/11/19,95.3,664199,field_out,hit_into_play,4,R,NYM,ARI,X,3,popup,3,1,2,null,80,69,94.929,2388,5.967,3
FF,9/11/19,91.3,592662,strikeout,swinging_strike,11,L,NYM,ARI,S,2,null,1,2,1,null,null,null,91.054,2079,6.138,null
CU,9/10/19,77.1,592233,field_out,hit_into_play,6,R,NYM,ARI,X,1,ground_ball,3,2,8,3,58.1,-44.5,76.096,2560,5.762,1
FF,9/10/19,91.5,668678,strikeout,swinging_strike,12,R,NYM,ARI,S,2,null,1,2,5,null,null,null,92.356,2333,6.611,null
CH,9/10/19,86.5,668678,strikeout,swinging_strike,13,R,NYM,ARI,S,2,null,1,2,3,null,null,null,86.92,1660,6.68,null
FT,9/10/19,93.8,668678,strikeout,called_strike,13,R,NYM,ARI,S,2,null,0,2,1,null,null,null,94.7,2261,6.64,null
SI,9/9/19,92.1,592233,strikeout,swinging_strike,5,R,NYM,ARI,S,2,null,2,2,7,null,null,null,91.455,1888,5.875,null
SI,9/9/19,92.5,518876,home_run,hit_into_play_score,7,R,NYM,ARI,X,null,line_drive,1,1,5,375,109.5,24.1,92.501,2230,6.552,6
SI,9/9/19,93.8,518876,field_out,hit_into_play,7,R,NYM,ARI,X,3,ground_ball,0,0,3,29,87.4,-2,94.184,2291,6.486,2
CU,9/9/19,83.3,518876,home_run,hit_into_play_score,8,R,NYM,ARI,X,null,fly_ball,0,1,1,389,101.2,29.4,83.128,2488,6.317,6
